"Betweenness unDir","Bridging unDir","Centroid unDir","Closeness unDir","Degree unDir","Eccentricity unDir","EigenVector unDir","name","Radiality unDir","selected","shared name","Stress unDir"
"0.0","0.0","-859.0","2.2972662531587412E-4","2.0","0.1","1.0834546183245881E-4","TPD52L2","6.944250871080139","false","TPD52L2","0.0"
"0.0","0.0","-860.0","2.678810608090008E-4","1.0","0.125","0.006131311942771717","MGAT4B","7.664343786295006","true","MGAT4B","0.0"
"0.0","0.0","-860.0","2.9877502240812666E-4","1.0","0.125","0.0019005465100292835","PPP1R1A","8.112659698025551","true","PPP1R1A","0.0"
"1346.3878381193927","4334.712064189264","-800.0","2.944640753828033E-4","2.0","0.125","0.0013379527654091537","MARCKSL1","8.05574912891986","false","MARCKSL1","8702.0"
"0.0","0.0","-860.0","2.5E-4","1.0","0.1111111111111111","3.2824341093109073E-4","TRPC4","7.354239256678281","true","TRPC4","0.0"
"0.0","0.0","-833.0","2.1003990758244065E-4","2.0","0.1111111111111111","3.5541496445422113E-6","RBM3","6.470383275261324","false","RBM3","0.0"
"0.0","0.0","-858.0","2.871912693854107E-4","2.0","0.125","0.012594363910007763","PTBP3","7.955865272938444","false","PTBP3","0.0"
"0.0","0.0","-860.0","2.5119316754584274E-4","1.0","0.125","6.628956388383042E-5","CPT1C","7.376306620209059","true","CPT1C","0.0"
"1822.9193579745183","512.1989819090705","-763.0","2.944640753828033E-4","3.0","0.125","6.025076604896499E-4","SRXN1","8.05574912891986","false","SRXN1","9236.0"
"0.0","0.0","-860.0","2.0157226365652087E-4","1.0","0.1","3.0454406196410834E-6","MSI2","6.238095238095238","true","MSI2","0.0"
"0.0","0.0","-784.0","2.782415136338342E-4","2.0","0.125","3.703813730255162E-4","CPEB2","7.825783972125436","false","CPEB2","0.0"
"0.0","0.0","-860.0","2.0777062123415748E-4","1.0","0.1111111111111111","8.179114311582099E-6","SLC8A1","6.409988385598142","true","SLC8A1","0.0"
"0.0","0.0","-860.0","2.80662363177098E-4","1.0","0.125","4.3315409407344884E-4","PCYT1A","7.861788617886178","true","PCYT1A","0.0"
"0.0","0.0","-860.0","2.0777062123415748E-4","1.0","0.1111111111111111","8.179114311582099E-6","ATP2B4","6.409988385598142","true","ATP2B4","0.0"
"0.0","0.0","-860.0","2.5031289111389235E-4","1.0","0.125","6.197905724702544E-5","ACADVL","7.360046457607433","true","ACADVL","0.0"
"0.0","0.0","-860.0","2.021835826930853E-4","1.0","0.1","4.209614502538978E-6","SASH1","6.255516840882694","true","SASH1","0.0"
"14.49888156402111","96.15047774035052","-763.0","2.9877502240812666E-4","2.0","0.125","0.004516291894363004","SCAF4","8.112659698025551","false","SCAF4","220.0"
"0.0","0.0","-858.0","2.871912693854107E-4","2.0","0.125","0.012594363910007763","PPT2","7.955865272938444","false","PPT2","0.0"
"0.0","0.0","-860.0","2.6123301985370953E-4","1.0","0.125","0.0012537632079965587","CNN1","7.554006968641115","true","CNN1","0.0"
"1720.0","793.8461538461539","-858.0","2.447381302006853E-4","2.0","0.1111111111111111","1.0684577011071201E-4","LZTS1","7.2543554006968645","false","LZTS1","9944.0"
"0.0","0.0","-860.0","1.9004180919802356E-4","1.0","0.1111111111111111","7.511243478542831E-7","TAGLN","5.888501742160279","true","TAGLN","0.0"
"4.5","2.25","-856.0","2.4396194193705782E-4","3.0","0.1111111111111111","4.0283202160926987E-4","TNS3","7.239256678281069","false","TNS3","18.0"
"11.384247873054537","18.38993887185733","-840.0","2.553626149131767E-4","2.0","0.125","5.694499170074098E-4","SSH1","7.451800232288037","false","SSH1","134.0"
"2230.592993568541","424.8748559178173","-827.0","2.2716946842344388E-4","3.0","0.125","1.906456264510496E-5","ENO2","6.887340301974448","false","ENO2","10440.0"
"0.0","0.0","-860.0","2.4467824810374357E-4","1.0","0.1111111111111111","6.092194012417246E-4","KLHL29","7.253193960511034","true","KLHL29","0.0"
"0.0","0.0","-850.0","2.5075225677031093E-4","2.0","0.125","4.1842480762920345E-4","NEFM","7.368176538908246","false","NEFM","0.0"
"45.12980360938736","43.67400349295551","-858.0","2.977963073257892E-4","2.0","0.1111111111111111","0.00479274431970114","TGFB1I1","8.099883855981417","false","TGFB1I1","550.0"
"1.9999999999999998","1.0745732255166216","-856.0","2.627430373095113E-4","3.0","0.125","6.434641107103568E-4","OST4","7.579558652729385","false","OST4","6.0"
"0.0","0.0","-860.0","2.426595486532395E-4","1.0","0.125","5.127350081273761E-5","ID4","7.213704994192799","true","ID4","0.0"
"0.0","0.0","-860.0","2.6089225150013044E-4","1.0","0.125","1.5142748128332663E-4","WARS","7.548199767711963","true","WARS","0.0"
"20.248303927880947","19.484216987206192","-858.0","2.9568302779420464E-4","2.0","0.125","0.004895683542606448","NEDD9","8.072009291521487","false","NEDD9","530.0"
"0.0","0.0","-860.0","2.672367717797969E-4","1.0","0.125","1.2189397362592239E-4","SETD7","7.653890824622532","true","SETD7","0.0"
"2878.125753847365","2698.2428942319048","-827.0","2.680246582685607E-4","2.0","0.14285714285714285","4.480698410267267E-4","PLS3","7.666666666666667","false","PLS3","13700.0"
"164.6624052811006","73.886976728699","-827.0","2.654632333421821E-4","3.0","0.125","4.6775475862336256E-4","NES","7.624854819976771","false","NES","936.0"
"0.0","0.0","-860.0","2.5621316935690495E-4","1.0","0.1111111111111111","0.0022562065264818045","MCAM","7.466898954703833","true","MCAM","0.0"
"247.7018065042586","657.6910034768244","-717.0","2.8818443804034583E-4","2.0","0.14285714285714285","0.0010591894257392586","RUNX1T1","7.969802555168409","false","RUNX1T1","1784.0"
